model,node,post_id,success,relevance_match,baseline_relevant,test_relevant,baseline_score,test_score,score_diff
llama3.1:8b,entry,irrelevant_1,True,True,False,False,,,
llama3.1:8b,entry,fake_news_1,True,True,True,True,1.0,0.7,-0.30000000000000004
llama3.1:8b,entry,political_1,True,False,True,False,,,
llama3.1:8b,planner,irrelevant_1,True,True,False,False,,,
llama3.1:8b,planner,fake_news_1,True,True,True,True,1.0,0.9,-0.09999999999999998
llama3.1:8b,planner,political_1,True,True,True,True,0.9,0.9,0.0
llama3.1:8b,researcher,irrelevant_1,True,True,False,False,,,
llama3.1:8b,researcher,fake_news_1,True,True,True,True,1.0,1.0,0.0
llama3.1:8b,researcher,political_1,True,True,True,True,0.9,0.8,-0.09999999999999998
llama3.1:8b,analyst,irrelevant_1,True,True,False,False,,,
llama3.1:8b,analyst,fake_news_1,True,True,True,True,1.0,1.0,0.0
llama3.1:8b,analyst,political_1,True,True,True,True,0.9,0.9,0.0
qwen2.5:1.5b,entry,irrelevant_1,True,True,False,False,,,
qwen2.5:1.5b,entry,fake_news_1,True,True,True,True,1.0,0.9,-0.09999999999999998
qwen2.5:1.5b,entry,political_1,True,True,True,True,0.9,0.9,0.0
qwen2.5:1.5b,planner,irrelevant_1,True,True,False,False,,,
qwen2.5:1.5b,planner,fake_news_1,True,True,True,True,1.0,0.9,-0.09999999999999998
qwen2.5:1.5b,planner,political_1,True,True,True,True,0.9,0.8,-0.09999999999999998
qwen2.5:1.5b,researcher,irrelevant_1,True,True,False,False,,,
qwen2.5:1.5b,researcher,fake_news_1,True,True,True,True,1.0,1.0,0.0
qwen2.5:1.5b,researcher,political_1,True,True,True,True,0.9,1.0,0.09999999999999998
qwen2.5:1.5b,analyst,irrelevant_1,True,True,False,False,,,
qwen2.5:1.5b,analyst,fake_news_1,True,True,True,True,1.0,0.5,-0.5
qwen2.5:1.5b,analyst,political_1,True,True,True,True,0.9,0.9,0.0
